,Date,Open,High,Low,Close,Adj Close,Volume
157,2016-02-24,34.549999,35.900002,33.568001,35.799999,35.799999,26978000
1086,2019-10-31,62.619999,63.799999,62.599998,62.984001,62.984001,25335000
743,2018-06-21,72.400002,73.241997,69.253998,69.501999,69.501999,39835500
455,2017-05-01,62.976002,65.449997,62.962002,64.566002,64.566002,44148000
173,2016-03-17,44.293999,45.700001,44.0,45.276001,45.276001,18914500
55,2015-09-28,51.470001,51.958,49.321999,49.686001,49.686001,24505500
1142,2020-01-23,112.849998,116.400002,111.120003,114.440002,114.440002,98255000
161,2016-03-01,38.849998,39.189999,36.540001,37.27,37.27,33561000
559,2017-09-27,69.980003,70.297997,68.099998,68.194,68.194,30301500
598,2017-11-21,62.172001,63.646,61.742001,63.562,63.562,36306500
614,2017-12-14,68.202003,69.487999,67.379997,67.578003,67.578003,28999500
631,2018-01-10,66.440002,67.400002,66.0,66.959999,66.959999,21549500
1252,2020-06-30,201.300003,217.537994,200.746002,215.962006,215.962006,84592500
718,2018-05-16,56.765999,57.762001,56.312,57.296001,57.296001,28370000
596,2017-11-17,65.134003,65.334,62.630001,63.009998,63.009998,68675500
255,2016-07-14,44.624001,44.987999,44.209999,44.306,44.306,13379000
704,2018-04-26,55.75,57.158001,55.299999,57.096001,57.096001,21780000
167,2016-03-09,40.903999,41.874001,40.557999,41.743999,41.743999,16043000
861,2018-12-10,72.0,73.195999,70.624001,73.029999,73.029999,33067500
83,2015-11-05,46.116001,46.916,45.838001,46.354,46.354,22484000
703,2018-04-25,56.700001,57.032001,55.450001,56.138,56.138,20068000
815,2018-10-03,60.666,60.919998,58.313999,58.959999,58.959999,39975000
771,2018-08-01,59.598,60.599998,58.599998,60.167999,60.167999,50647000
834,2018-10-30,65.678001,67.580002,64.452003,65.980003,65.980003,45633500
163,2016-03-03,37.655998,39.484001,36.844002,39.147999,39.147999,24145000
66,2015-10-13,42.655998,44.504002,42.226002,43.849998,43.849998,25857500
917,2019-03-04,59.624001,59.799999,56.556,57.071999,57.071999,85484000
579,2017-10-25,67.339996,67.5,64.711998,65.167999,65.167999,42970500
0,2015-07-10,52.444,52.599998,51.563999,51.830002,51.830002,13054500
728,2018-05-31,57.442001,58.074001,56.585999,56.945999,56.945999,29598500
306,2016-09-26,41.299999,42.200001,41.299999,41.798,41.798,11972000
685,2018-03-29,51.298,54.192001,49.641998,53.226002,53.226002,75853500
649,2018-02-06,65.042,67.244003,64.699997,66.793999,66.793999,25442000
837,2018-11-02,68.748001,69.839996,68.181999,69.281998,69.281998,39040000
841,2018-11-08,69.699997,71.515999,69.688004,70.279999,70.279999,35453500
276,2016-08-12,45.082001,45.330002,44.807999,45.122002,45.122002,9067500
473,2017-05-25,62.203999,63.394001,61.562,63.366001,63.366001,25070000
575,2017-10-19,71.112,71.43,69.639999,70.362,70.362,25309000
825,2018-10-17,56.48,56.540001,53.16,54.355999,54.355999,43277500
317,2016-10-11,40.369999,40.439999,39.661999,40.02,40.02,11642000
61,2015-10-06,48.0,48.605999,47.116001,48.292,48.292,26126000
883,2019-01-11,68.417999,69.681999,67.753998,69.452003,69.452003,25195500
1038,2019-08-23,43.993999,44.234001,42.200001,42.279999,42.279999,42693000
307,2016-09-27,41.93,41.995998,40.922001,41.161999,41.161999,16866000
319,2016-10-13,40.099998,40.18,39.41,40.048,40.048,12473000
1217,2020-05-11,158.102005,164.800003,157.0,162.257996,162.257996,82598000
223,2016-05-27,44.998001,45.186001,44.150002,44.608002,44.608002,18251500
331,2016-10-31,40.498001,40.498001,39.161999,39.546001,39.546001,23461500
164,2016-03-04,39.599998,40.806,39.5,40.208,40.208,32445500
886,2019-01-16,68.956001,70.400002,68.699997,69.209999,69.209999,23458500
1079,2019-10-22,50.863998,51.666,50.169998,51.116001,51.116001,23004000
607,2017-12-05,60.400002,61.599998,60.200001,60.740002,60.740002,23232500
196,2016-04-20,49.251999,50.731998,48.299999,49.993999,49.993999,25970500
686,2018-04-02,51.251999,52.066002,48.917999,50.495998,50.495998,80570000
805,2018-09-19,56.102001,60.0,56.099998,59.804001,59.804001,41474500
1016,2019-07-24,51.834,53.214001,51.632,52.976002,52.976002,55364000
1065,2019-10-02,48.658001,48.93,47.886002,48.625999,48.625999,28157000
1104,2019-11-26,67.054001,67.099998,65.419998,65.783997,65.783997,39737000
269,2016-08-03,45.473999,45.939999,44.841999,45.158001,45.158001,19439000
661,2018-02-23,69.566002,70.998001,69.419998,70.410004,70.410004,29087000
1251,2020-06-29,193.802002,202.0,189.703995,201.869995,201.869995,45132000
1003,2019-07-05,46.914001,47.09,46.16,46.619999,46.619999,35328500
644,2018-01-30,69.028,69.653999,68.433998,69.164001,69.164001,23588500
1028,2019-08-09,47.209999,47.792,46.762001,47.001999,47.001999,19491000
394,2017-02-01,50.610001,50.639999,49.810001,49.848,49.848,19794000
233,2016-06-13,43.900002,45.153999,43.532001,43.574001,43.574001,20965000
1229,2020-05-28,162.701996,164.949997,160.337997,161.162003,161.162003,36278000
457,2017-05-03,63.534,64.306,62.09,62.203999,62.203999,35667000
945,2019-04-11,53.66,54.099998,53.119999,53.683998,53.683998,49179500
103,2015-12-04,46.492001,46.653999,45.532001,46.076,46.076,12868000
363,2016-12-15,39.681999,40.147999,39.478001,39.515999,39.515999,16098000
959,2019-05-02,49.104,49.425999,47.543999,48.82,48.82,90796500
871,2018-12-24,62.700001,62.900002,59.040001,59.077999,59.077999,27799500
954,2019-04-25,51.0,51.799999,49.214001,49.526001,49.526001,109247000
924,2019-03-13,56.779999,58.397999,56.540001,57.792,57.792,34223500
95,2015-11-23,43.470001,43.835999,42.936001,43.549999,43.549999,12631000
527,2017-08-11,71.393997,72.251999,70.723999,71.573997,71.573997,21829000
1150,2020-02-04,176.591995,193.798004,166.776001,177.412003,177.412003,304694000
733,2018-06-07,63.23,66.0,62.716,63.217999,63.217999,71726500
951,2019-04-22,53.799999,53.936001,52.495998,52.549999,52.549999,60735500
727,2018-05-30,56.658001,59.001999,56.32,58.344002,58.344002,37448500
1133,2020-01-09,99.419998,99.760002,94.573997,96.267998,96.267998,142202000
7,2015-07-21,54.009998,54.700001,53.310001,53.354,53.354,30543500
1022,2019-08-01,48.529999,48.902,46.354,46.77,46.77,41297500
32,2015-08-25,46.104,46.18,43.824001,44.006001,44.006001,21636500
1119,2019-12-18,76.125999,79.043999,76.115997,78.629997,78.629997,70605000
735,2018-06-11,64.501999,66.931999,64.5,66.419998,66.419998,65917500
1192,2020-04-03,101.900002,103.098,93.678001,96.001999,96.001999,112810500
626,2018-01-03,64.199997,65.050003,63.110001,63.450001,63.450001,22607500
1025,2019-08-06,46.375999,46.5,45.150002,46.150002,46.150002,27821000
117,2015-12-24,46.112,46.375999,45.655998,46.113998,46.113998,3540000
903,2019-02-11,62.32,63.720001,62.099998,62.568001,62.568001,35648500
37,2015-09-01,48.068001,49.200001,47.394001,47.726002,47.726002,27274000
729,2018-06-01,57.172001,58.389999,56.768002,58.363998,58.363998,27122000
549,2017-09-13,72.764,73.613998,71.917999,73.246002,73.246002,20926000
160,2016-02-29,38.48,39.27,37.844002,38.386002,38.386002,22495000
756,2018-07-11,63.16,64.388,63.014,63.792,63.792,24420500
816,2018-10-04,58.790001,58.799999,55.534,56.366001,56.366001,49071000
1136,2020-01-14,108.851997,109.482002,104.980003,107.584,107.584,144981000
884,2019-01-14,68.475998,68.5,66.800003,66.879997,66.879997,26236500
820,2018-10-10,52.922001,53.102001,49.554001,51.375999,51.375999,64076500
324,2016-10-20,40.424,40.599998,39.41,39.82,39.82,25364500
459,2017-05-05,59.599998,61.709999,59.360001,61.669998,61.669998,40886500
198,2016-04-22,49.778,50.799999,49.141998,50.75,50.75,18931500
1110,2019-12-05,66.566002,66.884003,65.449997,66.073997,66.073997,18623000
1058,2019-09-23,48.0,49.035999,47.844002,48.245998,48.245998,21701000
651,2018-02-08,68.662003,69.723999,62.919998,63.046001,63.046001,51573000
393,2017-01-31,49.848,51.178001,49.540001,50.386002,50.386002,20580500
926,2019-03-15,56.702,56.743999,54.880001,55.085999,55.085999,73927500
1212,2020-05-04,140.199997,152.399994,139.600006,152.238007,152.238007,96185500
721,2018-05-21,56.265999,58.298,56.259998,56.897999,56.897999,45913000
102,2015-12-03,47.096001,47.490002,46.0,46.542,46.542,14698000
637,2018-01-19,69.0,70.117996,68.519997,70.003998,70.003998,24441500
937,2019-04-01,56.523998,57.84,56.256001,57.835999,57.835999,40552000
180,2016-03-29,45.978001,46.476002,45.066002,46.026001,46.026001,20071500
